模块,位置描述,涉及版本,zh-CN 简体中文（中国大陆）,zh-TW 繁体中文（中国台湾）,en-US 英文（美国）,vi-VN 越南语（越南）,ar-SA 阿拉伯语（沙特阿拉伯）,es-ES 西班牙语（西班牙）,pt-BR 葡萄牙语（巴西）,fr-FR 法语（法国）,ja-JP 日语（日本）,ko-KR 韩语（韩国）,ur-PK 乌尔都语（巴基斯坦）,id-ID 印尼语（印度尼西亚）,hi-IN 印地语（印度）,ru-RU 俄语（俄罗斯）,tr-TR 土耳其语（土耳其）,使用场景/注意事项
顶部导航/侧边栏/首页,PC 左侧栏-查看更多按钮,,查看更多,查看更多,View more,Xem thêm,عرض المزيد,Ver más,Ver mais,Voir plus,もっと見る,더보기,مزید دیکھیں,Lihat lainnya,और देखें,Показать ещё,Daha fazla,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,下载弹窗/下载区 - App Store,,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,App Store,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,下载弹窗/下载区 - Google Play,,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,下载弹窗/下载区 - 下载 APP,,下载 APP,下載 APP,Download APP,Tải ứng dụng,تنزيل التطبيق,Descargar APP,Baixar APP,Télécharger l'application,APPをダウンロード,앱 다운로드,ایپ ڈاؤن لوڈ کریں,Unduh Aplikasi,ऐप डाउनलोड करें,Скачать приложение,Uygulamayı İndir,多场景：顶部导航/侧边栏/首页 · H5/App 引导 - 下载 App 按钮；顶部导航/侧边栏/首页 · 下载弹窗/下载区 - 下载 APP｜导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口｜未安装场景主按钮
顶部导航/侧边栏/首页,移动端首页筛选栏默认项 - 按最新时间排序,V1.6,最新,最新,Latest,Mới nhất,الأحدث,Más reciente,Mais recentes,Les plus récents,最新,최신,تازہ ترین,Terbaru,नवीनतम,Новые,En Yeni,多场景：顶部导航/侧边栏/首页 · 移动端首页筛选栏默认项 - 按最新时间排序；广场/资讯/帖子 · 广场页 Tab - 最新｜移动端首页筛选栏默认项，列表按发布/开播时间从新到旧排序；建议 i18n key：live.pc_more.sort_latest｜v1.3.1 广场页顶部 Tab；聊天/群聊 · 发现群组 - 最新
顶部导航/侧边栏/首页,页脚/下载区-下载 OnCoin App 链接,,下载 OnCoin App,下載 OnCoin App,Download OnCoin App,Tải ứng dụng OnCoin,تنزيل تطبيق OnCoin,Descargar la app OnCoin,Baixar o app OnCoin,Télécharger l’app OnCoin,OnCoinアプリをダウンロード,OnCoin 앱 다운로드,OnCoin ایپ ڈاؤن لوڈ کریں,Unduh aplikasi OnCoin,OnCoin ऐप डाउनलोड करें,Скачать приложение OnCoin,OnCoin uygulamasını indir,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,首页主内容区 - 探索、分享、赚取,,探索、分享、赚取,探索、分享、賺取,"Discover, Share, Earn","Khám phá, chia sẻ, kiếm tiền",اكتشف وشارك واربح في Web3,"Descubre, comparte y gana en Web3","Descubra, compartilhe e ganhe no Web3","Découvrir, partager et gagner dans le Web3",Web3で発見・共有・収益化,"Web3에서 발견하고, 공유하고, 수익을 얻으세요",Web3 میں دریافت کریں، شیئر کریں، کمائیں,"Temukan, Bagikan, Raih di Web3","Web3 में खोजें, साझा करें, कमाएँ","Открывай, делись и зарабатывай в Web3","Web3'te Keşfet, Paylaş, Kazan",导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,首页轮播图 - 上一张轮播图,,上一张轮播图,上一張輪播圖,Previous banner,Banner trước,الشريحة السابقة,Banner anterior,Banner anterior,Bannière précédente,前のバナー,이전 배너,پچھلا بینر,Banner sebelumnya,पिछला बैनर,Предыдущий баннер,Önceki banner,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,首页轮播图 - 下一张轮播图,,下一张轮播图,下一張輪播圖,Next banner,Banner tiếp theo,الشريحة التالية,Banner siguiente,Próximo banner,Bannière suivante,次のバナー,다음 배너,اگلا بینر,Banner berikutnya,अगला बैनर,Следующий баннер,Sonraki banner,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,首页轮播图 - 轮播图分页,,轮播图分页,輪播圖分頁,Banner pages,Trang banner,صفحات الشرائح,Páginas del banner,Páginas do banner,Pages de la bannière,バナーページ,배너 페이지,بینر صفحات,Halaman banner,बैनर पेज,Страницы баннера,Banner sayfaları,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
【登录/注册/账号】,,,,,,,,,,,,,,,,,,
登录/注册/账号,登录/注册/账号 - 其他设备登录提示,,你的账号已在其他设备登录，当前设备已退出。如非本人操作，请及时修改密码。,你的帳號已在其他裝置登入，目前裝置已登出。如非本人操作，請及時修改密碼。,"Your account was signed in on another device, and this device has been signed out. If this wasn't you, please change your password immediately.","Tài khoản của bạn đã đăng nhập trên thiết bị khác và thiết bị hiện tại đã đăng xuất. Nếu không phải bạn, vui lòng đổi mật khẩu ngay.",تم تسجيل الدخول إلى حسابك على جهاز آخر، وتم تسجيل الخروج من هذا الجهاز. إذا لم تكن أنت، يُرجى تغيير كلمة المرور فورًا.,"Tu cuenta ha iniciado sesión en otro dispositivo y este dispositivo ha cerrado sesión. Si no fuiste tú, cambia tu contraseña de inmediato.","Sua conta foi acessada em outro dispositivo e este dispositivo foi desconectado. Se não foi você, altere sua senha imediatamente.","Votre compte s'est connecté sur un autre appareil et cet appareil a été déconnecté. Si ce n'était pas vous, veuillez changer votre mot de passe immédiatement.",あなたのアカウントは別のデバイスでログインされたため、このデバイスからログアウトされました。ご本人でない場合は、すぐにパスワードを変更してください。,계정이 다른 기기에서 로그인되어 현재 기기에서 로그아웃되었습니다. 본인이 아니라면 즉시 비밀번호를 변경해 주세요.,آپ کا اکاؤنٹ کسی دوسرے ڈیوائس پر لاگ اِن ہو چکا ہے اور موجودہ ڈیوائس لاگ آؤٹ کر دی گئی ہے۔ اگر یہ آپ نہیں تھے تو فوراً پاس ورڈ تبدیل کریں۔,"Akun Anda telah masuk di perangkat lain, dan perangkat ini telah keluar. Jika bukan Anda, segera ubah kata sandi.","आपका खाता किसी अन्य डिवाइस पर लॉग इन हो चुका है, और इस डिवाइस से लॉग आउट कर दिया गया है। यदि यह आप नहीं थे, तो तुरंत अपना पासवर्ड बदलें।","В ваш аккаунт выполнен вход с другого устройства, и на этом устройстве выполнен выход. Если это были не вы, немедленно смените пароль.",Hesabınız başka bir cihazda oturum açtı ve bu cihazdan çıkış yapıldı. Bu siz değilseniz lütfen hemen şifrenizi değiştirin.,账号在其他设备登录后，当前设备被强制退出的弹窗/Toast 提示；引导用户及时修改密码
登录/注册/账号,登录弹窗 - 数值 秒后重发,,{{seconds}} 秒后重发,{{seconds}} 秒後重發,Resend in {{seconds}}s,Gửi lại sau {{seconds}} giây,إعادة إرسال {{seconds}}ث,Reenviar en {{seconds}}s,Reenviar em {{seconds}}s,Renvoyer dans {{seconds}}s,{{seconds}}秒後に再送,{{seconds}}초 후 재전송,{{seconds}}s میں دوبارہ بھیجیں,Kirim ulang dalam {{seconds}}d,{{seconds}}s में फिर भेजें,Повторить через {{seconds}}с,{{seconds}} sn sonra yeniden gönder,含动态变量，翻译时必须保留 {{}} 内占位符，前后语序可按语言调整
登录/注册/账号,登录弹窗 - 登录中,,登录中...,登入中...,Logging in...,Đang đăng nhập...,جارٍ التحميل...,Cargando...,Carregando...,Chargement...,読み込み中...,로딩 중...,لوڈ ہو رہا ہے...,Memuat...,लोड हो रहा है...,Загрузка...,Yükleniyor...,页面固定系统文案，需纳入 i18n 统一管理并检查多语言显示宽度
登录/注册/账号,退出登录确认弹窗 - 确定退出登录？,,确定退出登录？,確定登出？,Log out?,Đăng xuất?,تسجيل الخروج؟,¿Cerrar sesión?,Sair?,Se déconnecter ?,ログアウトしますか？,로그아웃할까요?,لاگ آؤٹ کریں؟,Keluar?,लॉग आउट करें?,Выйти?,Çıkış yapılsın mı?,系统弹窗/提示条文案，需检查确认、取消、异常提示和浏览器场景
登录/注册/账号,退出登录确认弹窗 - 退出,,退出,登出,Log out,Đăng xuất,تسجيل الخروج,Cerrar sesión,Sair,Se déconnecter,ログアウト,로그아웃,لاگ آؤٹ,Keluar,लॉग आउट,Выйти,Çıkış Yap,系统弹窗/提示条文案，需检查确认、取消、异常提示和浏览器场景
登录/注册/账号,首次登录资料完善弹窗 - 填写昵称与简介并上传头像后完成,,填写昵称与简介并上传头像后完成,填寫暱稱與簡介並上傳頭像後完成,"Complete after filling in your nickname and bio, and uploading an avatar","Hoàn tất sau khi điền biệt danh, tiểu sử và tải lên ảnh đại diện",أكمل بعد إدخال اللقب والسيرة الذاتية ورفع صورة الملف الشخصي,"Completa tras rellenar el apodo y la biografía, y subir un avatar",Conclua após preencher o apelido e a bio e enviar um avatar,"Terminez après avoir renseigné le pseudo et la bio, et téléversé un avatar",ニックネームと自己紹介を入力し、アバターをアップロードすると完了です,닉네임과 소개를 입력하고 아바타를 업로드하면 완료됩니다,عرفی نام اور تعارف بھریں اور اوتار اپ لوڈ کرنے کے بعد مکمل کریں,"Selesaikan setelah mengisi nama panggilan dan bio, serta mengunggah avatar",उपनाम और परिचय भरकर अवतार अपलोड करने के बाद पूरा करें,Завершите после заполнения ника и описания и загрузки аватара,Takma ad ile biyografiyi doldurup avatar yükledikten sonra tamamlayın,首次登录资料完善引导说明
登录/注册/账号,首次登录资料完善弹窗 - 头像,,头像,頭像,Avatar,Ảnh đại diện,الصورة الرمزية,avatar,avatar,Photo de profil,アバター,아바타,ایواٹر,Avatar,अवतार,Аватар,avatar,页面固定系统文案，需纳入 i18n 统一管理并检查多语言显示宽度
登录/注册/账号,首次登录资料完善弹窗 - 完善个人资料,,完善个人资料,完善個人資料,Complete Your Profile,Hoàn thiện hồ sơ,أكمل ملف Pro الخاص بك,Complete su archivo Pro,Complete seu arquivo Pro,Complétez votre fichier Pro,Proファイルを完成させてください,Pro파일을 완성하세요,اپنی Pro فائل کو مکمل کریں۔,Lengkapi file Pro Anda,अपनी Proफ़ाइल पूरी करें,Заполните свой файл Pro,Pro dosyanızı tamamlayın,页面固定系统文案，需纳入 i18n 统一管理并检查多语言显示宽度
登录/注册/账号,首次登录资料完善弹窗 - 显示名称,,显示名称,顯示名稱,Display Name,Tên hiển thị,اسم العرض,Nombre para mostrar,Nome de Exibição,Nom d'affichage,表示名,표시 이름,ڈسپلے نام,Nama Tampilan,डिस्प्ले नाम,Отображаемое имя,Görünen Ad,多场景：登录/注册/账号 · 首次登录资料完善弹窗 - 显示名称；我的/个人中心 · 我的页个人资料区 - 显示名称｜页面固定系统文案，需纳入 i18n 统一管理并检查多语言显示宽度
登录/注册/账号,首次登录资料完善弹窗 - 稍后,,稍后,稍後,Later,Để sau,في وقت لاحق,Más tarde,Mais tarde,Plus tard,後で,나중에,بعد میں,Nanti,बाद में,Позже,Daha sonra,页面固定系统文案，需纳入 i18n 统一管理并检查多语言显示宽度
登录/注册/账号,首次登录资料完善弹窗 - 立即完善,,立即完善,立即完善,Complete Now,Hoàn thiện ngay,أكمل الآن,Completar ahora,Concluir agora,Terminez maintenant,今すぐ完了,지금 완료하세요,ابھی مکمل کریں۔,Selesaikan Sekarang,अभी पूरा करें,Завершить сейчас,Şimdi Tamamla,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
